abbrev,state,povertyRate,avgHHIncome,year,colorsID
NC,North Carolina,13.5,61997,2021,3806.05
ND,North Dakota,10.9,67603,2021,3761.96
OH,Ohio,13.3,62286,2021,3979.79
OK,Oklahoma,15.4,55829,2021,1646.41
OR,Oregon,12.1,71441,2021,1794.57
PA,Pennsylvania,12,68931,2021,1969.87
RI,Rhode Island,12.1,73324,2021,31.59
SC,South Carolina,14.5,59447,2021,929.93
SD,South Dakota,11.9,66843,2021,3770.19
TN,Tennessee,13.6,59698,2021,1535.13
TX,Texas,14.1,66959,2021,6648.22
UT,Utah,8.69,79449,2021,453.39
VT,Vermont,10.1,72415,2021,180.14
VA,Virginia,10.3,80926,2021,1146.48
WA,Washington,9.90,84155,2021,3894.81
WV,West Virginia,16.8,51122,2021,138.89
WI,Wisconsin,10.8,67150,2021,3090.23
WY,Wyoming,10.6,66508,2021,349.69
